"DATE__C","STATE__C","CURED__C","DEATHS__C","CONFIRMED__C","ERROR"
"2020-03-08T00:00:00Z","Telengana","0","0","1","Deaths: invalid number: 0"
"2020-03-08T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-08T00:00:00Z","Rajasthan","0","0","15","Deaths: invalid number: 0"
"2020-03-08T00:00:00Z","Kerala","3","0","8","Deaths: invalid number: 0"
"2020-03-08T00:00:00Z","Haryana","0","0","2","Deaths: invalid number: 0"
"2020-03-08T00:00:00Z","Delhi","0","0","3","Deaths: invalid number: 0"
"2020-03-08T00:00:00Z","Uttar Pradesh","0","0","7","Deaths: invalid number: 0"
"2020-03-09T00:00:00Z","Ladakh","0","0","2","Deaths: invalid number: 0"
"2020-03-09T00:00:00Z","Karnataka","0","0","1","Deaths: invalid number: 0"
"2020-03-09T00:00:00Z","Kerala","3","0","9","Deaths: invalid number: 0"
"2020-03-09T00:00:00Z","Maharashtra","0","0","2","Deaths: invalid number: 0"
"2020-03-09T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-09T00:00:00Z","Rajasthan","0","0","15","Deaths: invalid number: 0"
"2020-03-09T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-09T00:00:00Z","Telengana","0","0","1","Deaths: invalid number: 0"
"2020-03-09T00:00:00Z","Jammu and Kashmir","0","0","1","Deaths: invalid number: 0"
"2020-03-09T00:00:00Z","Uttar Pradesh","0","0","7","Deaths: invalid number: 0"
"2020-03-09T00:00:00Z","Haryana","0","0","2","Deaths: invalid number: 0"
"2020-03-09T00:00:00Z","Delhi","0","0","4","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Uttar Pradesh","0","0","7","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Ladakh","0","0","2","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Delhi","0","0","4","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Haryana","0","0","2","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Karnataka","0","0","4","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Kerala","3","0","15","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Maharashtra","0","0","5","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Rajasthan","0","0","15","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Telengana","0","0","1","Deaths: invalid number: 0"
"2020-03-10T00:00:00Z","Jammu and Kashmir","0","0","1","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Maharashtra","0","0","2","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Delhi","0","0","5","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Haryana","0","0","14","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Kerala","3","0","17","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Rajasthan","0","0","3","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Telengana","0","0","1","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Uttar Pradesh","0","0","9","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Ladakh","0","0","2","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Jammu and Kashmir","0","0","1","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-11T00:00:00Z","Karnataka","0","0","4","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Delhi","0","0","6","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Haryana","0","0","14","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Kerala","3","0","17","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Rajasthan","0","0","3","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Telengana","0","0","1","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Uttar Pradesh","0","0","11","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Ladakh","0","0","3","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Tamil Nadu","0","0","1","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Jammu and Kashmir","0","0","1","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Punjab","0","0","1","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Karnataka","0","0","4","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Maharashtra","0","0","11","Deaths: invalid number: 0"
"2020-03-12T00:00:00Z","Andhra Pradesh","0","0","1","Deaths: invalid number: 0"
"2020-03-13T00:00:00Z","Delhi","0","0","6","Deaths: invalid number: 0"
